ticket_id,created_at,customer_id,priority,channel,resolution_time_hours,first_contact_resolution,status,csat_score,category
TKT-2026040040,2026-04-02 13:30:00,CUST-5677,High,Email,27.7,Yes,Closed,4,Billing & Payment
TKT-2026040041,2026-04-02 15:45:00,CUST-3473,Medium,Email,38.2,Yes,Closed,5,Billing & Payment
TKT-2026040042,2026-04-02 16:15:00,CUST-7519,Medium,Email,7.3,No,Closed,2,Network Outage
TKT-2026040043,2026-04-02 17:30:00,CUST-3421,Low,Web Portal,11.5,Yes,In Progress,5,General Inquiry
TKT-2026040044,2026-04-02 18:30:00,CUST-7881,Medium,Web Portal,45.8,Yes,Closed,4,Billing & Payment
TKT-2026040045,2026-04-02 20:00:00,CUST-2327,Low,Mobile App,13.4,Yes,Closed,5,Network Outage
TKT-2026040046,2026-04-02 21:15:00,CUST-7684,Medium,Email,16.0,No,In Progress,2,Billing & Payment
TKT-2026040047,2026-04-02 21:15:00,CUST-2121,Low,Email,25.6,Yes,Closed,4,Network Outage
TKT-2026040048,2026-04-02 21:45:00,CUST-6649,Low,Email,9.5,No,Closed,3,Account Management
TKT-2026040049,2026-04-03 00:15:00,CUST-1383,Low,Web Portal,72.8,Yes,Closed,3,Billing & Payment
TKT-2026040050,2026-04-03 01:15:00,CUST-2747,Medium,Mobile App,9.4,Yes,In Progress,3,Technical Support
TKT-2026040051,2026-04-03 01:45:00,CUST-3153,Low,Web Portal,15.5,Yes,Closed,5,Network Outage
TKT-2026040052,2026-04-03 02:45:00,CUST-7980,High,Web Portal,181.0,No,Closed,1,Technical Support
TKT-2026040053,2026-04-03 03:15:00,CUST-7459,Low,Email,41.8,Yes,Closed,4,Account Management
TKT-2026040054,2026-04-03 03:45:00,CUST-5596,Low,Mobile App,10.9,No,Closed,1,Billing & Payment
TKT-2026040055,2026-04-03 04:15:00,CUST-4705,Low,Mobile App,17.5,Yes,Closed,3,Billing & Payment
TKT-2026040056,2026-04-03 06:15:00,CUST-8175,High,Web Portal,15.0,No,In Progress,1,Network Outage
TKT-2026040057,2026-04-03 06:30:00,CUST-2366,High,Email,65.2,Yes,Escalated,1,Technical Support
TKT-2026040058,2026-04-03 07:15:00,CUST-9052,Low,Web Portal,11.6,Yes,In Progress,4,Account Management
TKT-2026040059,2026-04-03 07:30:00,CUST-8194,Low,Email,12.3,No,Closed,2,General Inquiry
TKT-2026040060,2026-04-03 08:15:00,CUST-9462,Medium,Email,20.1,Yes,Closed,5,General Inquiry
TKT-2026040061,2026-04-03 08:30:00,CUST-4577,High,Web Portal,23.1,Yes,In Progress,4,Billing & Payment
TKT-2026040062,2026-04-03 08:30:00,CUST-8212,Low,Web Portal,31.5,Yes,Closed,5,Billing & Payment
TKT-2026040063,2026-04-03 09:30:00,CUST-7977,Medium,Mobile App,6.9,No,Escalated,1,Technical Support
TKT-2026040064,2026-04-03 11:15:00,CUST-8140,High,Email,23.7,No,Closed,2,Billing & Payment
TKT-2026040065,2026-04-03 11:30:00,CUST-4314,Medium,Web Portal,45.9,Yes,Closed,5,Account Management
TKT-2026040066,2026-04-03 11:45:00,CUST-2790,Medium,Mobile App,21.7,Yes,Closed,5,Technical Support
TKT-2026040067,2026-04-03 12:15:00,CUST-5548,Low,Web Portal,25.9,Yes,Closed,5,Billing & Payment
TKT-2026040068,2026-04-03 12:15:00,CUST-8935,Medium,Web Portal,22.1,Yes,Closed,5,Billing & Payment
TKT-2026040069,2026-04-03 13:45:00,CUST-8429,Medium,Web Portal,15.2,Yes,Closed,5,Billing & Payment
TKT-2026040070,2026-04-03 14:15:00,CUST-6044,High,Mobile App,7.2,Yes,Closed,4,Account Management
TKT-2026040071,2026-04-03 15:45:00,CUST-2488,Low,Email,44.3,Yes,Closed,5,Network Outage
TKT-2026040072,2026-04-03 16:15:00,CUST-9215,Medium,Web Portal,21.1,Yes,Closed,5,Technical Support
TKT-2026040073,2026-04-03 17:00:00,CUST-4349,High,Web Portal,15.2,Yes,Escalated,5,Account Management
TKT-2026040074,2026-04-03 17:30:00,CUST-1135,Low,Mobile App,4.1,Yes,Closed,5,Network Outage
TKT-2026040075,2026-04-03 18:15:00,CUST-8611,Low,Email,5.2,Yes,Escalated,5,Technical Support
TKT-2026040076,2026-04-03 18:45:00,CUST-2735,Low,Web Portal,23.1,Yes,Closed,4,Technical Support
TKT-2026040077,2026-04-03 19:15:00,CUST-7067,Low,Web Portal,7.8,Yes,Closed,5,Technical Support
TKT-2026040078,2026-04-03 19:15:00,CUST-8904,Low,Email,5.4,Yes,Closed,5,Account Management
TKT-2026040079,2026-04-03 20:45:00,CUST-1271,High,Mobile App,20.6,Yes,Closed,5,Account Management
TKT-2026040080,2026-04-03 22:00:00,CUST-8949,High,Web Portal,7.4,Yes,Closed,4,Network Outage
TKT-2026040081,2026-04-03 22:00:00,CUST-4200,Medium,Web Portal,5.0,Yes,Closed,5,Network Outage
TKT-2026040082,2026-04-04 00:00:00,CUST-2864,Low,Email,11.3,Yes,In Progress,5,Network Outage
TKT-2026040083,2026-04-04 00:15:00,CUST-2617,Urgent,Email,33.7,Yes,Closed,4,Billing & Payment
TKT-2026040084,2026-04-04 01:00:00,CUST-1725,Low,Email,14.7,Yes,Closed,5,Account Management
TKT-2026040085,2026-04-04 01:45:00,CUST-8100,High,Email,122.0,Yes,Closed,3,Technical Support
TKT-2026040086,2026-04-04 02:15:00,CUST-2954,Low,Web Portal,21.2,Yes,Closed,4,Account Management
TKT-2026040087,2026-04-04 03:30:00,CUST-7596,Medium,Web Portal,7.0,Yes,Closed,5,Technical Support
TKT-2026040088,2026-04-04 05:45:00,CUST-3869,Medium,Email,9.6,No,In Progress,2,General Inquiry
TKT-2026040089,2026-04-04 05:45:00,CUST-5365,Medium,Web Portal,5.2,Yes,Closed,5,Technical Support
TKT-2026040090,2026-04-04 07:45:00,CUST-7355,Low,Web Portal,4.4,Yes,Closed,3,Billing & Payment
TKT-2026040091,2026-04-04 07:45:00,CUST-8655,High,Email,22.4,No,Closed,2,Technical Support
TKT-2026040092,2026-04-04 08:30:00,CUST-2703,Low,Email,53.8,No,Closed,1,Technical Support
TKT-2026040093,2026-04-04 08:30:00,CUST-8148,Medium,Web Portal,6.5,Yes,Closed,5,Account Management
TKT-2026040094,2026-04-04 09:45:00,CUST-7591,Low,Email,8.1,Yes,Closed,4,Technical Support
TKT-2026040095,2026-04-04 10:00:00,CUST-7115,Medium,Mobile App,12.7,Yes,Closed,5,General Inquiry
TKT-2026040096,2026-04-04 10:30:00,CUST-2276,Low,Email,17.0,Yes,Closed,4,Technical Support
TKT-2026040097,2026-04-04 12:45:00,CUST-6375,Low,Mobile App,5.5,Yes,Closed,4,Technical Support
TKT-2026040098,2026-04-04 13:00:00,CUST-5170,Medium,Email,18.3,Yes,Closed,5,Technical Support
TKT-2026040099,2026-04-04 15:15:00,CUST-3075,High,Email,12.7,No,Closed,2,Billing & Payment
TKT-2026040100,2026-04-04 15:30:00,CUST-4704,High,Web Portal,20.2,No,Escalated,1,Technical Support
TKT-2026040101,2026-04-04 16:15:00,CUST-6697,Medium,Web Portal,8.1,Yes,In Progress,5,Network Outage
TKT-2026040102,2026-04-04 16:45:00,CUST-3074,Urgent,Web Portal,27.1,No,In Progress,2,Technical Support
TKT-2026040103,2026-04-04 17:30:00,CUST-7363,Low,Web Portal,7.6,No,In Progress,2,Billing & Payment
TKT-2026040104,2026-04-04 17:45:00,CUST-8931,Urgent,Web Portal,23.2,Yes,Closed,5,Network Outage
TKT-2026040105,2026-04-04 17:45:00,CUST-2876,Low,Email,37.7,Yes,In Progress,5,Technical Support
TKT-2026040106,2026-04-04 18:00:00,CUST-8462,High,Email,17.5,Yes,Closed,4,Account Management
TKT-2026040107,2026-04-04 18:00:00,CUST-3432,Low,Email,11.1,Yes,Closed,5,Technical Support
TKT-2026040108,2026-04-04 18:30:00,CUST-3708,High,Mobile App,5.3,Yes,Closed,5,Account Management
TKT-2026040109,2026-04-04 19:00:00,CUST-1263,Low,Web Portal,5.1,Yes,Closed,5,Technical Support
TKT-2026040110,2026-04-04 21:00:00,CUST-3441,Medium,Web Portal,33.9,Yes,Closed,5,Billing & Payment
TKT-2026040111,2026-04-04 23:00:00,CUST-2822,High,Email,14.0,Yes,Closed,5,Billing & Payment
TKT-2026040112,2026-04-04 23:00:00,CUST-2843,Low,Web Portal,45.6,Yes,Closed,4,Billing & Payment
TKT-2026040113,2026-04-04 23:45:00,CUST-7392,Medium,Email,8.3,Yes,Closed,4,Network Outage
TKT-2026040114,2026-04-05 00:30:00,CUST-5058,Low,Web Portal,12.3,No,In Progress,2,Account Management
TKT-2026040115,2026-04-05 01:15:00,CUST-2127,Low,Web Portal,16.0,Yes,Closed,5,Billing & Payment
TKT-2026040116,2026-04-05 01:30:00,CUST-3587,Low,Email,9.3,Yes,Closed,4,General Inquiry
TKT-2026040117,2026-04-05 01:30:00,CUST-6600,Medium,Email,65.6,Yes,Closed,1,Billing & Payment
TKT-2026040118,2026-04-05 01:45:00,CUST-2089,Low,Web Portal,10.5,Yes,Closed,5,Account Management
TKT-2026040119,2026-04-05 02:00:00,CUST-2393,High,Web Portal,33.5,No,Closed,1,General Inquiry
TKT-2026040120,2026-04-05 02:15:00,CUST-5864,Low,Web Portal,53.2,No,Closed,1,Technical Support
TKT-2026040121,2026-04-05 02:15:00,CUST-5877,High,Web Portal,66.3,Yes,Closed,3,Network Outage
TKT-2026040122,2026-04-05 03:45:00,CUST-7345,Low,Email,57.9,Yes,Closed,3,Billing & Payment
TKT-2026040123,2026-04-05 03:45:00,CUST-1710,Low,Email,23.9,Yes,Closed,5,Account Management
TKT-2026040124,2026-04-05 05:00:00,CUST-8188,High,Web Portal,5.1,Yes,Closed,4,Account Management
TKT-2026040125,2026-04-05 05:15:00,CUST-7957,Medium,Email,12.5,No,Closed,1,Network Outage
TKT-2026040126,2026-04-05 08:30:00,CUST-3934,Low,Mobile App,5.9,No,Closed,1,Account Management
TKT-2026040127,2026-04-05 08:30:00,CUST-7228,Low,Email,4.7,No,Closed,3,Network Outage
TKT-2026040128,2026-04-05 08:30:00,CUST-2352,High,Email,8.2,Yes,Escalated,4,Network Outage
TKT-2026040129,2026-04-05 09:00:00,CUST-3226,High,Email,48.3,No,In Progress,3,Technical Support
TKT-2026040130,2026-04-05 09:15:00,CUST-2615,Low,Email,37.0,Yes,Escalated,4,Network Outage
TKT-2026040131,2026-04-05 09:30:00,CUST-9295,Medium,Email,14.7,No,Closed,2,Technical Support
TKT-2026040132,2026-04-05 09:45:00,CUST-7862,Medium,Email,8.6,Yes,Closed,5,Account Management
TKT-2026040133,2026-04-05 10:30:00,CUST-7492,High,Web Portal,24.7,Yes,Closed,5,Billing & Payment
TKT-2026040134,2026-04-05 12:00:00,CUST-5470,Medium,Email,7.7,Yes,Closed,5,Technical Support
TKT-2026040135,2026-04-05 13:00:00,CUST-9269,High,Email,4.9,Yes,Closed,4,Account Management
TKT-2026040136,2026-04-05 14:00:00,CUST-5200,Low,Email,16.8,Yes,In Progress,5,Technical Support
TKT-2026040137,2026-04-05 15:30:00,CUST-3586,Low,Email,19.6,Yes,Closed,5,Billing & Payment
TKT-2026040138,2026-04-05 16:00:00,CUST-7208,Low,Email,6.6,Yes,Closed,4,Account Management
TKT-2026040139,2026-04-05 16:15:00,CUST-8141,Medium,Email,14.0,No,Closed,2,Account Management
TKT-2026040140,2026-04-05 16:30:00,CUST-4177,High,Email,21.2,No,Closed,2,Billing & Payment
TKT-2026040141,2026-04-05 18:00:00,CUST-4541,Urgent,Mobile App,31.0,No,In Progress,1,Technical Support
TKT-2026040142,2026-04-05 18:00:00,CUST-1068,High,Email,18.2,No,Closed,1,Billing & Payment
TKT-2026040143,2026-04-05 20:00:00,CUST-4421,Low,Email,16.5,Yes,Closed,4,Account Management
TKT-2026040144,2026-04-05 21:45:00,CUST-4869,Low,Email,8.6,No,In Progress,1,Network Outage
TKT-2026040145,2026-04-05 22:00:00,CUST-3586,Low,Email,9.4,Yes,In Progress,4,Billing & Payment
TKT-2026040146,2026-04-05 22:30:00,CUST-7698,Medium,Mobile App,6.2,Yes,Closed,3,Account Management
TKT-2026040147,2026-04-05 22:30:00,CUST-6052,Low,Email,4.2,Yes,Closed,5,Billing & Payment
TKT-2026040148,2026-04-05 22:45:00,CUST-8911,Medium,Email,4.6,Yes,Closed,5,Technical Support
TKT-2026040149,2026-04-06 00:00:00,CUST-5873,Medium,Web Portal,55.7,No,Closed,1,Account Management
TKT-2026040150,2026-04-06 00:00:00,CUST-3408,Urgent,Email,51.9,Yes,In Progress,2,Billing & Payment
TKT-2026040151,2026-04-06 03:00:00,CUST-7094,Low,Email,17.9,Yes,In Progress,5,Technical Support
TKT-2026040152,2026-04-06 03:15:00,CUST-4444,Urgent,Web Portal,54.8,No,Escalated,2,Technical Support
TKT-2026040153,2026-04-06 04:15:00,CUST-2819,Medium,Email,22.7,Yes,Closed,4,Billing & Payment
TKT-2026040154,2026-04-06 06:30:00,CUST-1592,Medium,Email,6.7,Yes,Closed,5,Account Management
TKT-2026040155,2026-04-06 07:30:00,CUST-4105,Low,Mobile App,21.3,No,Closed,1,Account Management
TKT-2026040156,2026-04-06 08:00:00,CUST-2861,Medium,Email,15.5,Yes,Closed,4,Account Management
TKT-2026040157,2026-04-06 09:00:00,CUST-9089,High,Web Portal,13.5,No,Escalated,1,Technical Support
TKT-2026040158,2026-04-06 09:15:00,CUST-2550,Medium,Web Portal,7.6,Yes,Escalated,4,Network Outage
TKT-2026040159,2026-04-06 10:15:00,CUST-5973,High,Web Portal,4.0,Yes,Closed,4,Billing & Payment
TKT-2026040160,2026-04-06 10:15:00,CUST-2350,Low,Web Portal,6.0,Yes,Closed,5,Account Management
TKT-2026040161,2026-04-06 10:15:00,CUST-6877,Low,Email,7.0,Yes,Closed,3,Technical Support
TKT-2026040162,2026-04-06 10:45:00,CUST-4987,Medium,Email,9.1,Yes,Closed,5,Billing & Payment
TKT-2026040163,2026-04-06 12:30:00,CUST-8595,High,Email,6.9,No,Closed,3,Billing & Payment
TKT-2026040164,2026-04-06 12:30:00,CUST-2524,Low,Email,11.4,Yes,In Progress,3,Network Outage
TKT-2026040165,2026-04-06 13:15:00,CUST-1552,High,Email,6.9,Yes,Closed,5,Account Management
TKT-2026040166,2026-04-06 17:00:00,CUST-5397,High,Email,30.0,No,Escalated,4,Technical Support
TKT-2026040167,2026-04-06 17:15:00,CUST-5980,Medium,Email,11.2,Yes,Closed,4,Network Outage
TKT-2026040168,2026-04-06 17:45:00,CUST-3090,Low,Web Portal,13.7,No,Closed,1,Technical Support
TKT-2026040169,2026-04-06 18:45:00,CUST-3326,Low,Web Portal,13.8,Yes,Closed,5,Technical Support
TKT-2026040170,2026-04-06 20:00:00,CUST-5470,Medium,Email,20.5,No,Closed,3,Technical Support
TKT-2026040171,2026-04-06 21:15:00,CUST-6126,Medium,Web Portal,5.1,Yes,Closed,5,Billing & Payment
TKT-2026040172,2026-04-06 22:00:00,CUST-1071,High,Web Portal,44.7,Yes,Closed,5,Network Outage
TKT-2026040173,2026-04-06 22:00:00,CUST-4107,Medium,Email,6.3,Yes,Closed,3,Network Outage
TKT-2026040174,2026-04-06 22:30:00,CUST-5764,Medium,Email,5.8,Yes,Closed,4,Technical Support
TKT-2026040175,2026-04-07 00:00:00,CUST-5040,Medium,Email,8.7,Yes,Closed,4,Network Outage
TKT-2026040176,2026-04-07 00:00:00,CUST-9122,Low,Email,19.1,Yes,Closed,4,Billing & Payment
TKT-2026040177,2026-04-07 00:45:00,CUST-4114,Medium,Web Portal,13.2,Yes,Escalated,4,Account Management
TKT-2026040178,2026-04-07 02:00:00,CUST-5337,High,Web Portal,14.9,Yes,Closed,4,Billing & Payment
TKT-2026040179,2026-04-07 02:30:00,CUST-7214,Low,Email,49.8,No,Closed,1,Account Management
TKT-2026040180,2026-04-07 03:30:00,CUST-6340,Low,Web Portal,26.5,No,Closed,3,Technical Support
TKT-2026040181,2026-04-07 05:00:00,CUST-9944,High,Email,15.2,Yes,Closed,4,Account Management
TKT-2026040182,2026-04-07 05:45:00,CUST-3633,Low,Email,5.3,Yes,Closed,5,Network Outage
TKT-2026040183,2026-04-07 06:45:00,CUST-4945,High,Email,26.0,No,In Progress,3,Billing & Payment
TKT-2026040184,2026-04-07 07:00:00,CUST-9173,Medium,Web Portal,7.6,Yes,In Progress,5,Technical Support
TKT-2026040185,2026-04-07 07:00:00,CUST-2788,Medium,Email,17.4,Yes,Closed,4,Technical Support
TKT-2026040186,2026-04-07 07:30:00,CUST-8908,Low,Mobile App,8.2,Yes,Closed,5,Technical Support
TKT-2026040187,2026-04-07 07:30:00,CUST-6645,Medium,Email,29.5,No,Closed,1,Network Outage
TKT-2026040188,2026-04-07 07:45:00,CUST-2038,Medium,Mobile App,8.3,No,Escalated,1,Account Management
TKT-2026040189,2026-04-07 09:30:00,CUST-4302,High,Mobile App,18.6,Yes,Closed,5,Billing & Payment
TKT-2026040190,2026-04-07 10:30:00,CUST-4651,Low,Email,25.9,Yes,Closed,4,Account Management
TKT-2026040191,2026-04-07 10:45:00,CUST-5768,Urgent,Email,6.0,No,Closed,3,Network Outage
TKT-2026040192,2026-04-07 11:30:00,CUST-5855,Medium,Mobile App,18.8,Yes,Closed,4,Technical Support
TKT-2026040193,2026-04-07 11:30:00,CUST-2622,Low,Email,16.5,No,In Progress,4,Billing & Payment
TKT-2026040194,2026-04-07 11:45:00,CUST-4692,Low,Email,7.9,Yes,Closed,5,Technical Support
TKT-2026040195,2026-04-07 12:00:00,CUST-2107,High,Mobile App,5.6,Yes,Closed,4,Account Management
TKT-2026040196,2026-04-07 12:15:00,CUST-5602,Medium,Email,13.9,Yes,Closed,5,Network Outage
TKT-2026040197,2026-04-07 13:00:00,CUST-5991,Medium,Email,22.4,Yes,Closed,5,Technical Support
TKT-2026040198,2026-04-07 13:30:00,CUST-9141,High,Email,76.1,Yes,In Progress,1,Technical Support
TKT-2026040199,2026-04-07 13:30:00,CUST-4215,Medium,Email,19.0,Yes,Closed,4,Technical Support
TKT-2026040200,2026-04-07 14:00:00,CUST-8571,Medium,Email,22.8,Yes,Closed,3,Technical Support
TKT-2026040201,2026-04-07 14:45:00,CUST-4734,High,Email,4.3,Yes,Closed,5,General Inquiry
TKT-2026040202,2026-04-07 15:45:00,CUST-7705,High,Email,9.1,Yes,Closed,5,Billing & Payment
TKT-2026040203,2026-04-07 16:00:00,CUST-6282,Low,Web Portal,57.9,Yes,Closed,2,General Inquiry
TKT-2026040204,2026-04-07 16:45:00,CUST-8249,High,Email,25.7,No,In Progress,1,Technical Support
TKT-2026040205,2026-04-07 17:15:00,CUST-6053,Low,Email,21.9,No,Closed,1,Billing & Payment
TKT-2026040206,2026-04-07 17:15:00,CUST-2445,Low,Email,7.3,Yes,Escalated,3,Billing & Payment
TKT-2026040207,2026-04-07 17:30:00,CUST-5756,Medium,Mobile App,8.5,Yes,In Progress,5,Billing & Payment
TKT-2026040208,2026-04-07 17:45:00,CUST-3843,High,Mobile App,24.8,No,Escalated,2,Technical Support
TKT-2026040209,2026-04-07 18:30:00,CUST-9961,Medium,Email,13.6,No,Closed,1,Technical Support
TKT-2026040210,2026-04-07 18:45:00,CUST-3174,Medium,Email,15.2,Yes,Closed,4,Technical Support
TKT-2026040211,2026-04-07 19:00:00,CUST-9825,Low,Web Portal,7.5,Yes,Closed,5,Billing & Payment
TKT-2026040212,2026-04-07 21:00:00,CUST-1519,Medium,Mobile App,13.5,No,Closed,1,Technical Support
TKT-2026040213,2026-04-07 21:15:00,CUST-5647,Low,Mobile App,25.6,No,Closed,3,Account Management
TKT-2026040214,2026-04-07 22:15:00,CUST-2858,Low,Web Portal,8.3,Yes,Closed,4,Billing & Payment
TKT-2026040215,2026-04-07 22:30:00,CUST-5362,Low,Mobile App,8.5,No,Closed,1,Network Outage
TKT-2026040216,2026-04-07 22:30:00,CUST-6617,High,Email,28.0,No,Closed,1,Technical Support
TKT-2026040217,2026-04-07 23:00:00,CUST-8785,Low,Email,11.5,Yes,Closed,5,Technical Support
TKT-2026040218,2026-04-07 23:00:00,CUST-8396,Medium,Email,8.4,Yes,Closed,3,Billing & Payment
TKT-2026040219,2026-04-07 23:15:00,CUST-4241,Low,Mobile App,25.0,Yes,Closed,5,Technical Support
TKT-2026040220,2026-04-08 00:15:00,CUST-3856,Medium,Web Portal,25.5,Yes,Closed,5,Technical Support
TKT-2026040221,2026-04-08 00:45:00,CUST-6266,High,Email,9.6,No,Closed,1,Billing & Payment
TKT-2026040222,2026-04-08 01:00:00,CUST-5344,Low,Mobile App,5.6,Yes,Closed,5,Billing & Payment
TKT-2026040223,2026-04-08 01:15:00,CUST-8096,Low,Web Portal,6.9,Yes,Closed,5,Billing & Payment
TKT-2026040224,2026-04-08 01:15:00,CUST-6501,Urgent,Email,18.4,Yes,Closed,3,Billing & Payment
TKT-2026040225,2026-04-08 01:15:00,CUST-3695,High,Mobile App,33.2,Yes,Closed,5,Billing & Payment
TKT-2026040226,2026-04-08 01:45:00,CUST-9558,Urgent,Email,43.1,No,Closed,1,Technical Support
TKT-2026040227,2026-04-08 01:45:00,CUST-7140,Medium,Email,6.2,Yes,Closed,5,Account Management
TKT-2026040228,2026-04-08 02:45:00,CUST-8005,High,Email,47.1,No,Closed,1,Technical Support
TKT-2026040229,2026-04-08 02:45:00,CUST-3334,Urgent,Web Portal,7.1,Yes,Closed,5,Account Management
TKT-2026040230,2026-04-08 03:15:00,CUST-4301,Low,Email,69.9,Yes,Closed,1,General Inquiry
TKT-2026040231,2026-04-08 05:00:00,CUST-5010,Medium,Email,11.1,Yes,Closed,3,Account Management
TKT-2026040232,2026-04-08 05:30:00,CUST-9382,Urgent,Email,20.5,Yes,In Progress,4,Network Outage
TKT-2026040233,2026-04-08 06:15:00,CUST-3159,Low,Web Portal,38.7,Yes,In Progress,5,Network Outage
TKT-2026040234,2026-04-08 08:15:00,CUST-1622,Low,Web Portal,7.4,Yes,Closed,5,Technical Support
TKT-2026040235,2026-04-08 08:45:00,CUST-2688,High,Email,8.0,Yes,In Progress,4,Billing & Payment
TKT-2026040236,2026-04-08 10:30:00,CUST-9978,Low,Web Portal,12.2,Yes,Closed,5,Technical Support
TKT-2026040237,2026-04-08 11:00:00,CUST-7096,Low,Mobile App,29.7,Yes,Closed,3,Network Outage
TKT-2026040238,2026-04-08 11:30:00,CUST-7024,Medium,Web Portal,13.0,Yes,Closed,5,General Inquiry
TKT-2026040239,2026-04-08 12:00:00,CUST-5538,High,Web Portal,18.2,Yes,Closed,5,Network Outage
TKT-2026040240,2026-04-08 14:00:00,CUST-6934,Medium,Email,4.4,No,Closed,1,Technical Support
TKT-2026040241,2026-04-08 14:00:00,CUST-9916,Low,Email,11.5,Yes,In Progress,5,Account Management
TKT-2026040242,2026-04-08 15:30:00,CUST-6039,Medium,Mobile App,7.7,Yes,Closed,5,Technical Support
TKT-2026040243,2026-04-08 15:45:00,CUST-6427,High,Email,14.7,Yes,In Progress,5,Billing & Payment
TKT-2026040244,2026-04-08 16:30:00,CUST-9705,Medium,Web Portal,4.4,Yes,Closed,4,Billing & Payment
