chat_id,timestamp,customer_id,agent_id,first_response_time_sec,chat_duration_min,chat_status,csat_score,sentiment,issue_category
IM-2026040020,2026-04-01 13:30:00,CUST-6691,AGT-202,286,6.5,Resolved,3,Positive,Account Management
IM-2026040021,2026-04-01 13:30:00,CUST-4360,AGT-217,80,10.6,Resolved,5,Positive,Billing & Payment
IM-2026040022,2026-04-01 13:45:00,CUST-5787,AGT-205,178,8.8,Resolved,4,Neutral,Account Management
IM-2026040023,2026-04-01 13:45:00,CUST-3407,AGT-201,102,21.2,Resolved,5,Positive,Technical Support
IM-2026040024,2026-04-01 15:15:00,CUST-5224,AGT-207,55,5.5,Resolved,4,Neutral,Technical Support
IM-2026040025,2026-04-01 15:15:00,CUST-6429,AGT-229,32,12.2,Resolved,5,Neutral,Billing & Payment
IM-2026040026,2026-04-01 15:30:00,CUST-4859,AGT-223,85,12.4,Resolved,5,Positive,Technical Support
IM-2026040027,2026-04-01 15:30:00,CUST-1594,AGT-234,32,14.8,Resolved,5,Positive,Technical Support
IM-2026040028,2026-04-01 15:30:00,CUST-9066,AGT-225,72,11.5,Resolved,4,Neutral,Billing & Payment
IM-2026040029,2026-04-01 15:30:00,CUST-7359,AGT-229,74,4.1,Resolved,3,Positive,Billing & Payment
IM-2026040030,2026-04-01 15:45:00,CUST-3339,AGT-205,57,15.6,Resolved,5,Positive,General Inquiry
IM-2026040031,2026-04-01 15:45:00,CUST-2007,AGT-217,188,13.9,Resolved,5,Positive,Technical Support
IM-2026040032,2026-04-01 15:45:00,CUST-4538,AGT-231,88,9.7,Resolved,5,Neutral,Billing & Payment
IM-2026040033,2026-04-01 16:30:00,CUST-6691,AGT-210,215,14.9,Resolved,5,Positive,Technical Support
IM-2026040034,2026-04-01 16:45:00,CUST-3298,AGT-207,82,12.3,Resolved,5,Positive,Network Outage
IM-2026040035,2026-04-01 17:00:00,CUST-2501,AGT-227,186,9.6,Unresolved,5,Positive,Account Management
IM-2026040036,2026-04-01 17:15:00,CUST-9066,AGT-231,127,13.8,Unresolved,3,Positive,Account Management
IM-2026040037,2026-04-01 17:15:00,CUST-6419,AGT-231,229,4.6,Resolved,5,Positive,Account Management
IM-2026040038,2026-04-01 17:15:00,CUST-9654,AGT-228,21,16.7,Resolved,5,Positive,General Inquiry
IM-2026040039,2026-04-01 17:30:00,CUST-1018,AGT-217,80,7.8,Resolved,5,Neutral,Account Management
IM-2026040040,2026-04-01 17:30:00,CUST-2828,AGT-215,18,10.7,Resolved,5,Neutral,Technical Support
IM-2026040041,2026-04-01 17:30:00,CUST-6943,AGT-226,213,14.4,Transferred,5,Positive,Network Outage
IM-2026040042,2026-04-01 18:00:00,CUST-7626,AGT-227,100,12.3,Resolved,5,Positive,Billing & Payment
IM-2026040043,2026-04-01 18:15:00,CUST-7196,AGT-202,100,11.4,Resolved,5,Positive,Technical Support
IM-2026040044,2026-04-01 18:30:00,CUST-6293,AGT-231,21,11.9,Resolved,5,Positive,Account Management
IM-2026040045,2026-04-01 19:15:00,CUST-6547,AGT-208,44,7.9,Resolved,4,Positive,Technical Support
IM-2026040046,2026-04-01 19:15:00,CUST-7023,AGT-213,185,16.5,Resolved,4,Positive,Billing & Payment
IM-2026040047,2026-04-01 19:30:00,CUST-8607,AGT-223,583,9.6,Resolved,1,Neutral,Billing & Payment
IM-2026040048,2026-04-01 19:45:00,CUST-3989,AGT-201,197,14.6,Resolved,5,Neutral,Technical Support
IM-2026040049,2026-04-01 20:00:00,CUST-3808,AGT-204,132,12.2,Resolved,4,Negative,Technical Support
IM-2026040050,2026-04-01 20:15:00,CUST-7053,AGT-223,15,5.2,Resolved,5,Positive,General Inquiry
IM-2026040051,2026-04-01 20:15:00,CUST-8002,AGT-214,58,12.8,Unresolved,3,Positive,Technical Support
IM-2026040052,2026-04-01 20:30:00,CUST-9550,AGT-216,280,13.8,Resolved,5,Positive,Technical Support
IM-2026040053,2026-04-01 21:00:00,CUST-4544,AGT-208,36,10.6,Resolved,5,Positive,Account Management
IM-2026040054,2026-04-01 21:30:00,CUST-5838,AGT-222,355,17.6,Unresolved,3,Negative,Billing & Payment
IM-2026040055,2026-04-01 21:30:00,CUST-3669,AGT-220,15,9.1,Resolved,4,Positive,Billing & Payment
IM-2026040056,2026-04-01 21:45:00,CUST-4568,AGT-209,115,8.2,Resolved,5,Positive,Technical Support
IM-2026040057,2026-04-01 22:30:00,CUST-4104,AGT-204,107,21.4,Resolved,5,Positive,Billing & Payment
IM-2026040058,2026-04-01 22:30:00,CUST-4245,AGT-226,89,7.2,Resolved,4,Positive,General Inquiry
IM-2026040059,2026-04-01 22:30:00,CUST-2658,AGT-221,158,7.5,Transferred,5,Positive,Technical Support
IM-2026040060,2026-04-01 22:30:00,CUST-1027,AGT-208,61,8.9,Unresolved,5,Positive,Account Management
IM-2026040061,2026-04-01 23:00:00,CUST-2251,AGT-231,43,6.6,Resolved,5,Positive,General Inquiry
IM-2026040062,2026-04-01 23:15:00,CUST-2277,AGT-215,171,16.2,Resolved,5,Positive,Technical Support
IM-2026040063,2026-04-01 23:15:00,CUST-1944,AGT-223,54,9.7,Resolved,4,Positive,Technical Support
IM-2026040064,2026-04-01 23:30:00,CUST-1543,AGT-201,230,2.0,Transferred,4,Positive,Billing & Payment
IM-2026040065,2026-04-01 23:30:00,CUST-1348,AGT-203,73,14.4,Resolved,5,Neutral,Technical Support
IM-2026040066,2026-04-01 23:30:00,CUST-2846,AGT-207,21,20.3,Resolved,3,Positive,Technical Support
IM-2026040067,2026-04-02 00:00:00,CUST-2681,AGT-215,124,15.0,Resolved,4,Neutral,Account Management
IM-2026040068,2026-04-02 00:45:00,CUST-2781,AGT-204,15,6.6,Unresolved,5,Positive,General Inquiry
IM-2026040069,2026-04-02 00:45:00,CUST-2157,AGT-207,122,16.1,Resolved,5,Positive,General Inquiry
IM-2026040070,2026-04-02 01:00:00,CUST-9791,AGT-215,47,27.3,Resolved,4,Positive,Network Outage
IM-2026040071,2026-04-02 01:15:00,CUST-2242,AGT-206,236,12.6,Resolved,3,Positive,Technical Support
IM-2026040072,2026-04-02 01:30:00,CUST-2268,AGT-226,20,6.3,Resolved,5,Positive,General Inquiry
IM-2026040073,2026-04-02 01:45:00,CUST-3162,AGT-224,45,19.8,Resolved,4,Negative,Network Outage
IM-2026040074,2026-04-02 01:45:00,CUST-9509,AGT-222,197,5.1,Unresolved,3,Positive,Account Management
IM-2026040075,2026-04-02 02:15:00,CUST-2200,AGT-203,402,3.1,Resolved,2,Negative,Billing & Payment
IM-2026040076,2026-04-02 03:30:00,CUST-1792,AGT-216,78,8.9,Resolved,3,Positive,General Inquiry
IM-2026040077,2026-04-02 03:30:00,CUST-2648,AGT-201,38,4.5,Resolved,3,Negative,Billing & Payment
IM-2026040078,2026-04-02 03:30:00,CUST-8048,AGT-212,74,13.1,Resolved,5,Positive,Technical Support
IM-2026040079,2026-04-02 04:15:00,CUST-9974,AGT-217,39,14.6,Resolved,5,Positive,Account Management
IM-2026040080,2026-04-02 04:15:00,CUST-6428,AGT-234,131,3.7,Resolved,5,Positive,Technical Support
IM-2026040081,2026-04-02 04:15:00,CUST-4484,AGT-212,39,17.3,Resolved,4,Positive,General Inquiry
IM-2026040082,2026-04-02 04:45:00,CUST-1592,AGT-227,49,16.7,Transferred,5,Positive,Billing & Payment
IM-2026040083,2026-04-02 05:00:00,CUST-4598,AGT-228,280,5.5,Resolved,4,Positive,Technical Support
IM-2026040084,2026-04-02 05:00:00,CUST-1098,AGT-219,85,10.2,Transferred,5,Positive,Technical Support
IM-2026040085,2026-04-02 05:00:00,CUST-4528,AGT-224,185,12.8,Resolved,4,Negative,Billing & Payment
IM-2026040086,2026-04-02 05:15:00,CUST-3680,AGT-226,155,15.4,Resolved,3,Neutral,Billing & Payment
IM-2026040087,2026-04-02 05:15:00,CUST-1981,AGT-234,25,6.6,Transferred,4,Neutral,Billing & Payment
IM-2026040088,2026-04-02 05:30:00,CUST-3569,AGT-225,84,8.6,Resolved,5,Neutral,Technical Support
IM-2026040089,2026-04-02 06:15:00,CUST-5829,AGT-202,16,14.1,Resolved,4,Positive,Billing & Payment
IM-2026040090,2026-04-02 06:45:00,CUST-4417,AGT-202,66,7.8,Resolved,4,Neutral,Technical Support
IM-2026040091,2026-04-02 06:45:00,CUST-2112,AGT-226,111,12.0,Resolved,5,Positive,Billing & Payment
IM-2026040092,2026-04-02 06:45:00,CUST-6710,AGT-207,18,8.7,Resolved,5,Neutral,Account Management
IM-2026040093,2026-04-02 07:00:00,CUST-2705,AGT-206,176,11.6,Resolved,4,Positive,Billing & Payment
IM-2026040094,2026-04-02 07:00:00,CUST-4090,AGT-234,65,11.0,Resolved,4,Negative,Technical Support
IM-2026040095,2026-04-02 07:30:00,CUST-1570,AGT-217,131,10.1,Resolved,4,Positive,Technical Support
IM-2026040096,2026-04-02 07:30:00,CUST-3049,AGT-220,102,15.6,Resolved,5,Neutral,Billing & Payment
IM-2026040097,2026-04-02 07:30:00,CUST-4500,AGT-229,153,17.6,Resolved,4,Neutral,Billing & Payment
IM-2026040098,2026-04-02 08:30:00,CUST-2372,AGT-227,22,12.9,Resolved,4,Neutral,Network Outage
IM-2026040099,2026-04-02 08:45:00,CUST-2963,AGT-217,99,14.3,Resolved,4,Positive,Billing & Payment
IM-2026040100,2026-04-02 08:45:00,CUST-1869,AGT-233,130,6.2,Resolved,4,Neutral,General Inquiry
IM-2026040101,2026-04-02 09:00:00,CUST-8592,AGT-210,44,19.9,Resolved,5,Positive,Billing & Payment
IM-2026040102,2026-04-02 09:30:00,CUST-1891,AGT-221,154,16.6,Resolved,3,Positive,Account Management
IM-2026040103,2026-04-02 10:00:00,CUST-7394,AGT-205,141,14.5,Unresolved,4,Neutral,Network Outage
IM-2026040104,2026-04-02 10:00:00,CUST-5313,AGT-215,88,16.4,Resolved,4,Negative,Account Management
IM-2026040105,2026-04-02 10:00:00,CUST-6588,AGT-222,59,2.6,Resolved,5,Positive,Technical Support
IM-2026040106,2026-04-02 10:15:00,CUST-4354,AGT-206,142,11.6,Resolved,5,Neutral,Technical Support
IM-2026040107,2026-04-02 10:15:00,CUST-4481,AGT-232,41,24.0,Resolved,5,Neutral,Technical Support
IM-2026040108,2026-04-02 10:30:00,CUST-5999,AGT-205,134,11.4,Resolved,4,Positive,Technical Support
IM-2026040109,2026-04-02 11:30:00,CUST-6848,AGT-234,30,4.6,Resolved,3,Positive,Billing & Payment
IM-2026040110,2026-04-02 11:30:00,CUST-4747,AGT-218,195,14.8,Resolved,5,Positive,Billing & Payment
IM-2026040111,2026-04-02 11:45:00,CUST-7733,AGT-203,444,21.8,Resolved,2,Negative,Network Outage
IM-2026040112,2026-04-02 11:45:00,CUST-3993,AGT-207,57,13.7,Unresolved,4,Positive,Account Management
IM-2026040113,2026-04-02 12:00:00,CUST-2151,AGT-203,111,19.0,Resolved,5,Positive,Technical Support
IM-2026040114,2026-04-02 12:15:00,CUST-9722,AGT-227,133,13.2,Resolved,5,Positive,Account Management
IM-2026040115,2026-04-02 12:30:00,CUST-5626,AGT-226,18,12.8,Resolved,5,Positive,General Inquiry
IM-2026040116,2026-04-02 13:00:00,CUST-3623,AGT-219,237,14.1,Resolved,4,Positive,Technical Support
IM-2026040117,2026-04-02 13:00:00,CUST-4878,AGT-230,57,14.4,Resolved,5,Positive,Technical Support
IM-2026040118,2026-04-02 13:15:00,CUST-1256,AGT-230,128,14.2,Resolved,5,Negative,Network Outage
IM-2026040119,2026-04-02 14:15:00,CUST-1897,AGT-217,132,13.4,Resolved,4,Positive,Account Management
IM-2026040120,2026-04-02 14:15:00,CUST-9088,AGT-221,49,6.7,Resolved,5,Neutral,Account Management
IM-2026040121,2026-04-02 15:00:00,CUST-9127,AGT-220,60,15.9,Resolved,5,Neutral,General Inquiry
IM-2026040122,2026-04-02 15:15:00,CUST-7987,AGT-203,61,19.5,Resolved,4,Neutral,General Inquiry
IM-2026040123,2026-04-02 16:00:00,CUST-6073,AGT-202,274,8.2,Resolved,5,Negative,Technical Support
IM-2026040124,2026-04-02 16:00:00,CUST-3728,AGT-220,87,8.2,Resolved,5,Positive,Billing & Payment
IM-2026040125,2026-04-02 16:15:00,CUST-1293,AGT-201,72,10.1,Resolved,5,Positive,Technical Support
IM-2026040126,2026-04-02 16:30:00,CUST-9641,AGT-216,138,12.0,Transferred,5,Negative,Technical Support
IM-2026040127,2026-04-02 16:30:00,CUST-2235,AGT-221,18,2.5,Resolved,5,Neutral,Technical Support
IM-2026040128,2026-04-02 16:45:00,CUST-2853,AGT-226,19,11.2,Unresolved,5,Positive,Account Management
IM-2026040129,2026-04-02 17:00:00,CUST-1862,AGT-224,92,6.8,Resolved,4,Neutral,Billing & Payment
IM-2026040130,2026-04-02 17:00:00,CUST-7959,AGT-215,107,16.5,Resolved,5,Neutral,Account Management
IM-2026040131,2026-04-02 17:15:00,CUST-7113,AGT-214,29,10.1,Resolved,5,Positive,General Inquiry
IM-2026040132,2026-04-02 17:45:00,CUST-2979,AGT-229,49,15.3,Unresolved,4,Positive,Billing & Payment
IM-2026040133,2026-04-02 17:45:00,CUST-7467,AGT-214,80,3.7,Resolved,5,Neutral,Technical Support
IM-2026040134,2026-04-02 18:30:00,CUST-9582,AGT-209,45,13.3,Transferred,4,Positive,Technical Support
IM-2026040135,2026-04-02 18:30:00,CUST-9077,AGT-209,74,10.7,Resolved,4,Positive,Network Outage
IM-2026040136,2026-04-02 19:30:00,CUST-6020,AGT-208,75,12.6,Resolved,4,Neutral,Network Outage
IM-2026040137,2026-04-02 19:45:00,CUST-1105,AGT-234,279,7.1,Resolved,5,Negative,Technical Support
IM-2026040138,2026-04-02 20:30:00,CUST-1906,AGT-206,25,8.3,Resolved,5,Positive,Billing & Payment
IM-2026040139,2026-04-02 20:45:00,CUST-9349,AGT-216,217,6.4,Resolved,4,Positive,Technical Support
IM-2026040140,2026-04-02 20:45:00,CUST-3483,AGT-218,24,6.4,Resolved,4,Neutral,Network Outage
IM-2026040141,2026-04-02 21:00:00,CUST-1479,AGT-231,129,8.1,Unresolved,4,Positive,Technical Support
IM-2026040142,2026-04-02 21:00:00,CUST-3640,AGT-204,63,13.3,Resolved,5,Neutral,Technical Support
IM-2026040143,2026-04-02 21:00:00,CUST-2502,AGT-213,23,17.8,Resolved,4,Positive,Account Management
IM-2026040144,2026-04-02 21:15:00,CUST-4570,AGT-201,29,16.5,Transferred,3,Positive,Billing & Payment
IM-2026040145,2026-04-02 21:15:00,CUST-4577,AGT-215,74,11.7,Resolved,5,Positive,Technical Support
IM-2026040146,2026-04-02 21:30:00,CUST-7278,AGT-213,216,19.4,Resolved,4,Positive,Billing & Payment
IM-2026040147,2026-04-02 21:30:00,CUST-4271,AGT-232,35,7.7,Resolved,5,Positive,Account Management
IM-2026040148,2026-04-02 22:00:00,CUST-4044,AGT-227,121,6.8,Resolved,5,Positive,Account Management
IM-2026040149,2026-04-02 22:00:00,CUST-3422,AGT-215,316,16.2,Unresolved,1,Negative,Network Outage
IM-2026040150,2026-04-02 22:15:00,CUST-2486,AGT-212,27,12.8,Resolved,4,Positive,Network Outage
IM-2026040151,2026-04-02 22:45:00,CUST-9059,AGT-208,71,17.7,Resolved,4,Neutral,General Inquiry
IM-2026040152,2026-04-02 22:45:00,CUST-9428,AGT-218,32,10.8,Resolved,4,Negative,Technical Support
IM-2026040153,2026-04-02 23:15:00,CUST-4950,AGT-202,21,11.8,Resolved,5,Positive,Billing & Payment
IM-2026040154,2026-04-02 23:30:00,CUST-8216,AGT-201,311,9.4,Unresolved,2,Negative,Account Management
IM-2026040155,2026-04-03 00:00:00,CUST-8921,AGT-232,131,13.1,Unresolved,4,Neutral,Technical Support
IM-2026040156,2026-04-03 00:00:00,CUST-9404,AGT-233,44,10.8,Resolved,5,Positive,Technical Support
IM-2026040157,2026-04-03 00:00:00,CUST-2732,AGT-229,209,16.6,Resolved,5,Positive,Billing & Payment
IM-2026040158,2026-04-03 00:15:00,CUST-1716,AGT-222,80,18.1,Resolved,4,Positive,Account Management
IM-2026040159,2026-04-03 00:15:00,CUST-8219,AGT-201,42,8.8,Resolved,5,Positive,General Inquiry
IM-2026040160,2026-04-03 01:00:00,CUST-6127,AGT-205,29,3.9,Resolved,3,Positive,Account Management
IM-2026040161,2026-04-03 01:30:00,CUST-9973,AGT-226,118,14.7,Resolved,4,Positive,Technical Support
IM-2026040162,2026-04-03 01:45:00,CUST-8097,AGT-218,41,13.5,Resolved,5,Neutral,Technical Support
IM-2026040163,2026-04-03 02:00:00,CUST-3427,AGT-226,244,14.8,Resolved,5,Positive,Billing & Payment
IM-2026040164,2026-04-03 02:00:00,CUST-5005,AGT-204,57,9.8,Unresolved,4,Positive,Billing & Payment
IM-2026040165,2026-04-03 02:30:00,CUST-1142,AGT-210,316,11.3,Unresolved,2,Positive,Billing & Payment
IM-2026040166,2026-04-03 02:45:00,CUST-3369,AGT-234,117,12.4,Resolved,5,Positive,Technical Support
IM-2026040167,2026-04-03 02:45:00,CUST-7372,AGT-227,54,18.3,Resolved,4,Negative,General Inquiry
IM-2026040168,2026-04-03 03:00:00,CUST-7515,AGT-216,140,16.0,Transferred,5,Neutral,General Inquiry
IM-2026040169,2026-04-03 03:30:00,CUST-1637,AGT-219,108,5.5,Resolved,3,Negative,Billing & Payment
IM-2026040170,2026-04-03 03:30:00,CUST-6643,AGT-232,314,7.7,Transferred,1,Negative,Account Management
IM-2026040171,2026-04-03 03:45:00,CUST-9411,AGT-222,218,9.0,Resolved,3,Positive,Network Outage
IM-2026040172,2026-04-03 04:00:00,CUST-2865,AGT-224,178,14.9,Resolved,5,Neutral,Technical Support
IM-2026040173,2026-04-03 04:00:00,CUST-1390,AGT-208,24,12.8,Resolved,5,Positive,Technical Support
IM-2026040174,2026-04-03 04:15:00,CUST-8769,AGT-225,139,8.3,Resolved,5,Positive,Billing & Payment
IM-2026040175,2026-04-03 04:15:00,CUST-7240,AGT-214,287,16.3,Transferred,5,Negative,Technical Support
IM-2026040176,2026-04-03 04:30:00,CUST-9956,AGT-209,92,15.2,Transferred,5,Positive,Account Management
IM-2026040177,2026-04-03 05:15:00,CUST-2637,AGT-205,95,9.6,Resolved,5,Positive,Technical Support
IM-2026040178,2026-04-03 05:30:00,CUST-7107,AGT-233,75,27.7,Resolved,4,Positive,Billing & Payment
IM-2026040179,2026-04-03 05:45:00,CUST-5864,AGT-209,62,6.4,Resolved,5,Positive,Technical Support
IM-2026040180,2026-04-03 06:00:00,CUST-1072,AGT-203,22,12.4,Resolved,3,Negative,Billing & Payment
IM-2026040181,2026-04-03 06:00:00,CUST-5231,AGT-233,37,11.9,Resolved,5,Positive,Account Management
IM-2026040182,2026-04-03 06:00:00,CUST-3677,AGT-219,141,18.0,Unresolved,4,Negative,Billing & Payment
IM-2026040183,2026-04-03 06:15:00,CUST-7592,AGT-232,32,14.8,Resolved,5,Neutral,Billing & Payment
IM-2026040184,2026-04-03 06:45:00,CUST-8378,AGT-218,33,11.0,Resolved,4,Negative,Account Management
IM-2026040185,2026-04-03 07:00:00,CUST-5779,AGT-229,25,13.1,Resolved,5,Positive,Account Management
IM-2026040186,2026-04-03 07:30:00,CUST-2802,AGT-212,330,18.7,Resolved,1,Negative,Account Management
IM-2026040187,2026-04-03 07:30:00,CUST-3305,AGT-204,52,16.6,Resolved,5,Positive,Technical Support
IM-2026040188,2026-04-03 07:30:00,CUST-4491,AGT-224,44,5.2,Resolved,3,Positive,Billing & Payment
IM-2026040189,2026-04-03 07:45:00,CUST-1293,AGT-202,27,16.7,Resolved,4,Negative,Technical Support
IM-2026040190,2026-04-03 07:45:00,CUST-9280,AGT-217,76,2.0,Resolved,4,Positive,Technical Support
IM-2026040191,2026-04-03 07:45:00,CUST-2633,AGT-226,56,9.7,Resolved,5,Neutral,Technical Support
IM-2026040192,2026-04-03 08:00:00,CUST-2817,AGT-227,81,8.7,Resolved,5,Positive,Billing & Payment
IM-2026040193,2026-04-03 08:00:00,CUST-1567,AGT-231,40,13.2,Resolved,5,Neutral,Technical Support
IM-2026040194,2026-04-03 08:15:00,CUST-7497,AGT-219,115,10.3,Resolved,5,Neutral,Account Management
IM-2026040195,2026-04-03 09:00:00,CUST-3369,AGT-201,198,9.7,Resolved,5,Positive,Billing & Payment
IM-2026040196,2026-04-03 09:15:00,CUST-7891,AGT-226,49,6.8,Resolved,4,Positive,Network Outage
IM-2026040197,2026-04-03 09:15:00,CUST-3563,AGT-230,140,8.7,Unresolved,3,Neutral,Billing & Payment
IM-2026040198,2026-04-03 09:30:00,CUST-6862,AGT-226,166,15.6,Resolved,4,Positive,Billing & Payment
IM-2026040199,2026-04-03 10:15:00,CUST-1749,AGT-224,212,15.4,Resolved,5,Neutral,Billing & Payment
IM-2026040200,2026-04-03 10:15:00,CUST-2389,AGT-213,19,14.9,Transferred,5,Positive,Technical Support
IM-2026040201,2026-04-03 10:30:00,CUST-6037,AGT-203,40,21.5,Transferred,5,Positive,Technical Support
IM-2026040202,2026-04-03 10:45:00,CUST-6158,AGT-219,15,11.5,Resolved,4,Positive,Billing & Payment
IM-2026040203,2026-04-03 11:15:00,CUST-9104,AGT-231,217,11.5,Resolved,5,Positive,Technical Support
IM-2026040204,2026-04-03 11:30:00,CUST-1654,AGT-212,66,12.9,Resolved,3,Positive,Network Outage
IM-2026040205,2026-04-03 11:45:00,CUST-7674,AGT-207,64,11.1,Resolved,4,Negative,Billing & Payment
IM-2026040206,2026-04-03 12:00:00,CUST-4915,AGT-206,29,16.7,Resolved,5,Positive,General Inquiry
IM-2026040207,2026-04-03 12:15:00,CUST-9330,AGT-223,177,8.7,Resolved,5,Positive,Technical Support
IM-2026040208,2026-04-03 12:15:00,CUST-6899,AGT-207,121,2.0,Resolved,5,Positive,Account Management
IM-2026040209,2026-04-03 12:30:00,CUST-2320,AGT-217,106,17.5,Resolved,3,Neutral,Network Outage
IM-2026040210,2026-04-03 12:45:00,CUST-2982,AGT-223,37,18.2,Resolved,5,Neutral,Technical Support
IM-2026040211,2026-04-03 13:00:00,CUST-7208,AGT-205,148,11.6,Resolved,4,Positive,Account Management
IM-2026040212,2026-04-03 13:15:00,CUST-4340,AGT-216,33,9.2,Resolved,4,Positive,Technical Support
IM-2026040213,2026-04-03 13:30:00,CUST-2608,AGT-218,149,8.7,Resolved,3,Neutral,Billing & Payment
IM-2026040214,2026-04-03 13:45:00,CUST-4708,AGT-234,180,13.9,Unresolved,5,Positive,Billing & Payment
IM-2026040215,2026-04-03 14:00:00,CUST-3711,AGT-231,112,10.0,Unresolved,5,Neutral,Billing & Payment
IM-2026040216,2026-04-03 14:00:00,CUST-6024,AGT-208,50,20.1,Resolved,5,Positive,Billing & Payment
IM-2026040217,2026-04-03 14:30:00,CUST-9160,AGT-224,129,17.7,Resolved,5,Neutral,Account Management
IM-2026040218,2026-04-03 14:45:00,CUST-9103,AGT-201,93,10.7,Resolved,3,Positive,Technical Support
IM-2026040219,2026-04-03 15:00:00,CUST-8658,AGT-232,149,14.8,Unresolved,4,Positive,Network Outage
IM-2026040220,2026-04-03 15:15:00,CUST-7045,AGT-232,153,11.4,Resolved,4,Positive,Technical Support
IM-2026040221,2026-04-03 15:30:00,CUST-7406,AGT-205,174,14.0,Resolved,4,Positive,Technical Support
IM-2026040222,2026-04-03 15:30:00,CUST-3003,AGT-232,15,14.1,Resolved,4,Positive,Account Management
IM-2026040223,2026-04-03 15:30:00,CUST-1051,AGT-204,47,13.0,Resolved,4,Positive,Account Management
IM-2026040224,2026-04-03 16:15:00,CUST-7232,AGT-228,62,16.3,Resolved,5,Positive,Account Management
IM-2026040225,2026-04-03 17:00:00,CUST-4540,AGT-216,85,16.4,Resolved,5,Positive,Technical Support
IM-2026040226,2026-04-03 17:15:00,CUST-8769,AGT-221,15,22.3,Resolved,4,Positive,Technical Support
IM-2026040227,2026-04-03 17:45:00,CUST-4815,AGT-202,16,18.7,Resolved,4,Neutral,Network Outage
IM-2026040228,2026-04-03 18:00:00,CUST-9626,AGT-213,177,7.6,Resolved,5,Positive,Technical Support
IM-2026040229,2026-04-03 18:15:00,CUST-9887,AGT-219,211,11.5,Transferred,4,Positive,General Inquiry
IM-2026040230,2026-04-03 18:15:00,CUST-1065,AGT-205,136,5.6,Resolved,5,Negative,Technical Support
IM-2026040231,2026-04-03 19:30:00,CUST-7470,AGT-230,395,5.6,Transferred,1,Negative,Technical Support
IM-2026040232,2026-04-03 20:00:00,CUST-5024,AGT-219,23,6.6,Unresolved,5,Positive,General Inquiry
IM-2026040233,2026-04-03 20:00:00,CUST-9497,AGT-202,42,10.6,Resolved,4,Positive,General Inquiry
IM-2026040234,2026-04-03 20:15:00,CUST-4168,AGT-225,50,12.2,Unresolved,4,Neutral,Technical Support
IM-2026040235,2026-04-03 20:15:00,CUST-1018,AGT-227,59,10.4,Resolved,5,Positive,Account Management
IM-2026040236,2026-04-03 20:45:00,CUST-3452,AGT-231,44,19.7,Resolved,5,Negative,Technical Support
IM-2026040237,2026-04-03 21:00:00,CUST-2159,AGT-219,50,10.3,Resolved,5,Positive,General Inquiry
IM-2026040238,2026-04-03 21:00:00,CUST-2760,AGT-211,296,13.9,Resolved,5,Neutral,Billing & Payment
IM-2026040239,2026-04-03 21:00:00,CUST-6898,AGT-222,65,25.2,Resolved,5,Neutral,Billing & Payment
IM-2026040240,2026-04-03 21:15:00,CUST-9532,AGT-207,107,14.4,Resolved,5,Neutral,Technical Support
