call_id,timestamp,customer_id,agent_id,call_duration_sec,wait_time_sec,call_status,csat_score,issue_category
CALL-2026040066,2026-04-02 13:15:00,CUST-7228,AGT-108,370,147,Answered,4,Billing & Payment
CALL-2026040067,2026-04-02 13:45:00,CUST-1011,AGT-105,489,186,Answered,3,Billing & Payment
CALL-2026040068,2026-04-02 14:30:00,CUST-7570,AGT-113,345,131,Dropped,1,Network Outage
CALL-2026040069,2026-04-02 15:15:00,CUST-7542,AGT-104,262,13,Answered,4,General Inquiry
CALL-2026040070,2026-04-02 15:30:00,CUST-8151,AGT-121,329,32,Answered,5,Technical Support
CALL-2026040071,2026-04-02 15:45:00,CUST-8311,AGT-110,225,85,Answered,4,Account Management
CALL-2026040072,2026-04-02 15:45:00,CUST-8052,AGT-107,137,104,Answered,5,Technical Support
CALL-2026040073,2026-04-02 16:15:00,CUST-6203,AGT-104,322,111,Answered,3,Technical Support
CALL-2026040074,2026-04-02 16:15:00,CUST-8285,AGT-121,75,25,Answered,5,Network Outage
CALL-2026040075,2026-04-02 16:30:00,CUST-6752,AGT-110,347,36,Answered,5,General Inquiry
CALL-2026040076,2026-04-02 16:30:00,CUST-8227,AGT-107,216,16,Answered,4,Account Management
CALL-2026040077,2026-04-02 16:30:00,CUST-1482,AGT-112,390,24,Answered,4,Network Outage
CALL-2026040078,2026-04-02 16:45:00,CUST-2100,AGT-102,426,64,Answered,4,Technical Support
CALL-2026040079,2026-04-02 17:15:00,CUST-7780,AGT-107,373,10,Answered,4,Account Management
CALL-2026040080,2026-04-02 18:00:00,CUST-7764,AGT-114,233,72,Answered,4,Technical Support
CALL-2026040081,2026-04-02 18:15:00,CUST-6472,AGT-106,211,14,Answered,4,Billing & Payment
CALL-2026040082,2026-04-02 18:30:00,CUST-8397,AGT-108,283,55,Answered,4,Account Management
CALL-2026040083,2026-04-02 19:45:00,CUST-6249,AGT-123,278,37,Answered,5,Billing & Payment
CALL-2026040084,2026-04-02 20:30:00,CUST-4374,AGT-123,290,16,Answered,5,Billing & Payment
CALL-2026040085,2026-04-02 20:30:00,CUST-4719,AGT-120,212,38,Answered,3,Billing & Payment
CALL-2026040086,2026-04-02 20:45:00,CUST-7549,AGT-118,351,130,Answered,5,Network Outage
CALL-2026040087,2026-04-02 21:00:00,CUST-3785,AGT-114,175,25,Answered,4,Technical Support
CALL-2026040088,2026-04-02 22:15:00,CUST-3496,AGT-111,141,29,Dropped,2,Network Outage
CALL-2026040089,2026-04-02 22:15:00,CUST-9453,AGT-103,100,61,Answered,4,Network Outage
CALL-2026040090,2026-04-02 22:30:00,CUST-9785,AGT-113,389,136,Answered,5,Billing & Payment
CALL-2026040091,2026-04-03 00:00:00,CUST-8693,AGT-109,240,11,Dropped,1,Billing & Payment
CALL-2026040092,2026-04-03 00:15:00,CUST-6656,AGT-102,231,128,Dropped,1,Technical Support
CALL-2026040093,2026-04-03 01:00:00,CUST-5917,AGT-114,184,51,Answered,3,Technical Support
CALL-2026040094,2026-04-03 01:15:00,CUST-8137,AGT-104,252,207,Answered,4,Technical Support
CALL-2026040095,2026-04-03 01:45:00,CUST-9734,AGT-114,284,29,Answered,4,Network Outage
CALL-2026040096,2026-04-03 02:45:00,CUST-7488,AGT-102,259,94,Answered,4,Billing & Payment
CALL-2026040097,2026-04-03 03:00:00,CUST-6078,AGT-119,216,14,Answered,5,Technical Support
CALL-2026040098,2026-04-03 05:00:00,CUST-9800,AGT-104,356,25,Answered,4,Account Management
CALL-2026040099,2026-04-03 05:15:00,CUST-4292,AGT-120,358,123,Answered,5,Account Management
CALL-2026040100,2026-04-03 05:30:00,CUST-2549,AGT-107,340,97,Answered,4,Account Management
CALL-2026040101,2026-04-03 06:30:00,CUST-8898,AGT-121,230,28,Answered,4,Technical Support
CALL-2026040102,2026-04-03 06:30:00,CUST-7356,AGT-118,315,23,Answered,3,Account Management
CALL-2026040103,2026-04-03 07:15:00,CUST-9656,AGT-103,123,72,Answered,4,Technical Support
CALL-2026040104,2026-04-03 07:15:00,CUST-9737,AGT-120,279,73,Answered,5,Technical Support
CALL-2026040105,2026-04-03 07:30:00,CUST-4493,AGT-110,382,143,Answered,4,Network Outage
CALL-2026040106,2026-04-03 08:15:00,CUST-8177,AGT-118,179,149,Answered,5,Technical Support
CALL-2026040107,2026-04-03 08:15:00,CUST-1775,AGT-122,282,67,Answered,5,Account Management
CALL-2026040108,2026-04-03 09:15:00,CUST-7230,AGT-105,212,12,Answered,5,Technical Support
CALL-2026040109,2026-04-03 09:15:00,CUST-9599,AGT-103,207,198,Answered,1,Technical Support
CALL-2026040110,2026-04-03 10:00:00,CUST-6330,AGT-107,396,108,Answered,5,Network Outage
CALL-2026040111,2026-04-03 10:15:00,CUST-6439,AGT-110,334,45,Answered,4,Technical Support
CALL-2026040112,2026-04-03 10:15:00,CUST-2827,AGT-104,398,215,Answered,1,Network Outage
CALL-2026040113,2026-04-03 10:30:00,CUST-9561,AGT-110,285,92,Answered,5,Network Outage
CALL-2026040114,2026-04-03 10:30:00,CUST-9714,AGT-110,304,503,Answered,1,Billing & Payment
CALL-2026040115,2026-04-03 11:00:00,CUST-6946,AGT-114,260,200,Dropped,1,Billing & Payment
CALL-2026040116,2026-04-03 11:30:00,CUST-6341,AGT-123,255,83,Answered,5,Network Outage
CALL-2026040117,2026-04-03 13:45:00,CUST-8165,AGT-121,163,278,Answered,1,General Inquiry
CALL-2026040118,2026-04-03 14:00:00,CUST-9853,AGT-111,301,169,Answered,4,Technical Support
CALL-2026040119,2026-04-03 15:45:00,CUST-5558,AGT-120,391,24,Answered,5,Network Outage
CALL-2026040120,2026-04-03 16:00:00,CUST-2724,AGT-101,281,31,Answered,5,Billing & Payment
CALL-2026040121,2026-04-03 16:15:00,CUST-6926,AGT-112,267,95,Answered,4,Account Management
CALL-2026040122,2026-04-03 17:00:00,CUST-1514,AGT-101,169,22,Answered,5,Technical Support
CALL-2026040123,2026-04-03 18:00:00,CUST-3520,AGT-110,419,111,Answered,5,Account Management
CALL-2026040124,2026-04-03 18:30:00,CUST-3979,AGT-122,365,119,Answered,3,Network Outage
CALL-2026040125,2026-04-03 18:45:00,CUST-4489,AGT-121,239,33,Answered,5,Billing & Payment
CALL-2026040126,2026-04-03 18:45:00,CUST-3179,AGT-115,206,86,Dropped,1,Billing & Payment
CALL-2026040127,2026-04-03 19:00:00,CUST-2828,AGT-106,384,81,Answered,5,Billing & Payment
CALL-2026040128,2026-04-03 20:15:00,CUST-3563,AGT-114,228,16,Answered,5,Account Management
CALL-2026040129,2026-04-03 20:30:00,CUST-4959,AGT-124,350,108,Answered,3,Account Management
CALL-2026040130,2026-04-03 21:15:00,CUST-1663,AGT-113,230,250,Answered,3,Account Management
CALL-2026040131,2026-04-03 22:00:00,CUST-9623,AGT-113,204,33,Answered,5,Technical Support
CALL-2026040132,2026-04-03 22:15:00,CUST-2019,AGT-122,267,42,Answered,5,Account Management
CALL-2026040133,2026-04-03 22:15:00,CUST-3010,AGT-115,387,119,Answered,4,Billing & Payment
CALL-2026040134,2026-04-03 23:15:00,CUST-9329,AGT-118,105,82,Answered,5,Technical Support
CALL-2026040135,2026-04-03 23:45:00,CUST-3757,AGT-117,227,101,Answered,4,General Inquiry
CALL-2026040136,2026-04-04 01:00:00,CUST-9895,AGT-105,162,69,Answered,5,Account Management
CALL-2026040137,2026-04-04 01:30:00,CUST-3978,AGT-101,255,10,Dropped,1,Network Outage
CALL-2026040138,2026-04-04 02:00:00,CUST-7868,AGT-124,190,29,Answered,4,Technical Support
CALL-2026040139,2026-04-04 02:45:00,CUST-4291,AGT-114,252,29,Answered,3,Technical Support
CALL-2026040140,2026-04-04 03:00:00,CUST-6347,AGT-124,421,68,Answered,4,Technical Support
CALL-2026040141,2026-04-04 06:00:00,CUST-1689,AGT-101,350,15,Answered,4,Network Outage
CALL-2026040142,2026-04-04 07:00:00,CUST-7342,AGT-121,199,42,Answered,5,Technical Support
CALL-2026040143,2026-04-04 07:00:00,CUST-3361,AGT-121,306,73,Answered,5,Technical Support
CALL-2026040144,2026-04-04 07:15:00,CUST-7588,AGT-109,157,86,Answered,3,Technical Support
CALL-2026040145,2026-04-04 09:15:00,CUST-1597,AGT-123,235,246,Dropped,2,Billing & Payment
CALL-2026040146,2026-04-04 11:15:00,CUST-5624,AGT-102,154,140,Answered,4,Technical Support
CALL-2026040147,2026-04-04 11:30:00,CUST-2537,AGT-122,67,229,Answered,2,Network Outage
CALL-2026040148,2026-04-04 14:00:00,CUST-9535,AGT-115,189,325,Answered,1,Billing & Payment
CALL-2026040149,2026-04-04 15:15:00,CUST-2854,AGT-117,236,27,Answered,5,Technical Support
CALL-2026040150,2026-04-04 15:45:00,CUST-7519,AGT-108,194,137,Answered,4,Network Outage
CALL-2026040151,2026-04-04 16:00:00,CUST-7823,AGT-117,359,14,Answered,4,Technical Support
CALL-2026040152,2026-04-04 17:30:00,CUST-5869,AGT-107,272,113,Answered,5,Account Management
CALL-2026040153,2026-04-04 17:45:00,CUST-3551,AGT-112,312,30,Answered,5,Billing & Payment
CALL-2026040154,2026-04-04 18:15:00,CUST-5654,AGT-115,403,55,Answered,5,General Inquiry
CALL-2026040155,2026-04-04 18:15:00,CUST-3822,AGT-116,249,151,Answered,5,Network Outage
CALL-2026040156,2026-04-04 18:30:00,CUST-1687,AGT-111,243,106,Missed,2,Billing & Payment
CALL-2026040157,2026-04-04 19:15:00,CUST-8183,AGT-101,383,258,Answered,3,Billing & Payment
CALL-2026040158,2026-04-04 19:30:00,CUST-9438,AGT-105,408,54,Answered,5,Account Management
CALL-2026040159,2026-04-04 19:45:00,CUST-7788,AGT-103,295,127,Answered,4,Technical Support
CALL-2026040160,2026-04-04 20:00:00,CUST-6569,AGT-115,398,32,Answered,5,Account Management
CALL-2026040161,2026-04-04 20:15:00,CUST-1587,AGT-116,258,114,Answered,4,Account Management
CALL-2026040162,2026-04-04 20:15:00,CUST-6433,AGT-111,246,68,Answered,5,Account Management
CALL-2026040163,2026-04-04 20:30:00,CUST-2674,AGT-115,235,11,Answered,3,Technical Support
CALL-2026040164,2026-04-04 21:15:00,CUST-2958,AGT-106,306,25,Answered,4,Network Outage
CALL-2026040165,2026-04-04 21:15:00,CUST-7659,AGT-115,326,24,Answered,5,Billing & Payment
CALL-2026040166,2026-04-04 22:15:00,CUST-2787,AGT-113,296,73,Answered,3,Network Outage
CALL-2026040167,2026-04-05 00:45:00,CUST-4674,AGT-102,292,47,Answered,5,Billing & Payment
CALL-2026040168,2026-04-05 01:00:00,CUST-6626,AGT-120,379,42,Answered,5,Technical Support
CALL-2026040169,2026-04-05 01:15:00,CUST-5757,AGT-116,328,226,Answered,4,Account Management
CALL-2026040170,2026-04-05 01:45:00,CUST-8230,AGT-109,359,116,Answered,5,Billing & Payment
CALL-2026040171,2026-04-05 02:30:00,CUST-5493,AGT-124,259,56,Answered,4,Account Management
CALL-2026040172,2026-04-05 02:45:00,CUST-2762,AGT-109,248,91,Answered,5,Technical Support
CALL-2026040173,2026-04-05 03:00:00,CUST-8804,AGT-114,330,280,Dropped,1,Billing & Payment
CALL-2026040174,2026-04-05 03:00:00,CUST-6154,AGT-111,482,126,Answered,3,General Inquiry
CALL-2026040175,2026-04-05 04:15:00,CUST-8851,AGT-101,179,54,Answered,4,Account Management
CALL-2026040176,2026-04-05 05:00:00,CUST-1405,AGT-108,270,45,Answered,5,General Inquiry
CALL-2026040177,2026-04-05 05:15:00,CUST-2846,AGT-107,199,26,Answered,5,Technical Support
CALL-2026040178,2026-04-05 05:45:00,CUST-5005,AGT-106,196,10,Answered,5,Network Outage
CALL-2026040179,2026-04-05 06:30:00,CUST-5378,AGT-108,152,48,Answered,4,Technical Support
CALL-2026040180,2026-04-05 06:45:00,CUST-2455,AGT-113,46,63,Answered,5,Billing & Payment
CALL-2026040181,2026-04-05 08:00:00,CUST-5976,AGT-108,377,16,Answered,5,Technical Support
CALL-2026040182,2026-04-05 08:15:00,CUST-6482,AGT-122,228,40,Answered,5,General Inquiry
CALL-2026040183,2026-04-05 09:00:00,CUST-1855,AGT-121,278,52,Answered,5,Billing & Payment
CALL-2026040184,2026-04-05 09:15:00,CUST-2356,AGT-114,376,39,Answered,5,Technical Support
CALL-2026040185,2026-04-05 09:30:00,CUST-7132,AGT-113,236,32,Answered,3,Account Management
CALL-2026040186,2026-04-05 09:45:00,CUST-6806,AGT-120,293,17,Answered,4,Account Management
CALL-2026040187,2026-04-05 10:00:00,CUST-1593,AGT-105,268,127,Answered,4,Technical Support
CALL-2026040188,2026-04-05 10:45:00,CUST-6889,AGT-109,286,424,Dropped,1,Account Management
CALL-2026040189,2026-04-05 10:45:00,CUST-5658,AGT-122,320,60,Answered,5,Technical Support
CALL-2026040190,2026-04-05 10:45:00,CUST-1386,AGT-116,183,338,Dropped,1,General Inquiry
CALL-2026040191,2026-04-05 11:00:00,CUST-3282,AGT-101,264,121,Answered,3,Technical Support
CALL-2026040192,2026-04-05 11:15:00,CUST-2130,AGT-118,146,44,Answered,5,Billing & Payment
CALL-2026040193,2026-04-05 11:15:00,CUST-4259,AGT-112,116,341,Dropped,1,Network Outage
CALL-2026040194,2026-04-05 11:45:00,CUST-2141,AGT-104,217,164,Answered,4,Billing & Payment
CALL-2026040195,2026-04-05 12:00:00,CUST-1006,AGT-104,266,288,Dropped,1,Technical Support
CALL-2026040196,2026-04-05 12:00:00,CUST-2442,AGT-111,318,312,Dropped,1,Billing & Payment
CALL-2026040197,2026-04-05 12:00:00,CUST-9767,AGT-105,416,361,Answered,1,Billing & Payment
CALL-2026040198,2026-04-05 12:15:00,CUST-7980,AGT-124,463,166,Answered,3,General Inquiry
CALL-2026040199,2026-04-05 12:45:00,CUST-8597,AGT-122,135,126,Answered,4,General Inquiry
CALL-2026040200,2026-04-05 13:00:00,CUST-5009,AGT-105,199,113,Answered,4,Network Outage
CALL-2026040201,2026-04-05 13:15:00,CUST-7789,AGT-104,298,171,Answered,3,General Inquiry
CALL-2026040202,2026-04-05 15:00:00,CUST-4807,AGT-116,209,245,Answered,2,Network Outage
CALL-2026040203,2026-04-05 16:15:00,CUST-9556,AGT-122,375,119,Answered,4,Technical Support
CALL-2026040204,2026-04-05 16:15:00,CUST-1340,AGT-114,237,26,Answered,5,Account Management
CALL-2026040205,2026-04-05 16:30:00,CUST-4456,AGT-124,233,19,Answered,5,General Inquiry
CALL-2026040206,2026-04-05 16:45:00,CUST-9017,AGT-108,330,104,Answered,5,Billing & Payment
CALL-2026040207,2026-04-05 19:00:00,CUST-3567,AGT-105,302,56,Answered,5,Billing & Payment
CALL-2026040208,2026-04-05 20:30:00,CUST-7538,AGT-107,322,104,Answered,5,Technical Support
CALL-2026040209,2026-04-05 21:15:00,CUST-1882,AGT-119,275,15,Answered,4,Billing & Payment
CALL-2026040210,2026-04-05 22:15:00,CUST-9125,AGT-124,427,65,Dropped,1,Billing & Payment
CALL-2026040211,2026-04-05 23:30:00,CUST-4536,AGT-119,469,46,Answered,5,Network Outage
CALL-2026040212,2026-04-06 00:00:00,CUST-5258,AGT-116,174,13,Answered,5,General Inquiry
CALL-2026040213,2026-04-06 00:45:00,CUST-4935,AGT-108,333,138,Answered,5,Technical Support
CALL-2026040214,2026-04-06 01:00:00,CUST-3767,AGT-118,30,79,Answered,5,Billing & Payment
CALL-2026040215,2026-04-06 01:00:00,CUST-6929,AGT-121,199,107,Dropped,1,Billing & Payment
CALL-2026040216,2026-04-06 01:00:00,CUST-8537,AGT-108,218,15,Answered,3,General Inquiry
CALL-2026040217,2026-04-06 01:30:00,CUST-4363,AGT-105,352,19,Answered,5,Account Management
CALL-2026040218,2026-04-06 01:45:00,CUST-4747,AGT-103,347,15,Answered,3,Account Management
CALL-2026040219,2026-04-06 01:45:00,CUST-8427,AGT-106,378,57,Answered,3,Billing & Payment
CALL-2026040220,2026-04-06 02:45:00,CUST-3130,AGT-106,449,14,Answered,5,Technical Support
CALL-2026040221,2026-04-06 02:45:00,CUST-8823,AGT-106,135,14,Answered,4,Technical Support
CALL-2026040222,2026-04-06 04:30:00,CUST-3951,AGT-123,211,41,Dropped,1,General Inquiry
CALL-2026040223,2026-04-06 04:45:00,CUST-2588,AGT-107,285,71,Answered,5,Technical Support
CALL-2026040224,2026-04-06 05:15:00,CUST-1182,AGT-123,304,46,Answered,5,Network Outage
CALL-2026040225,2026-04-06 05:30:00,CUST-9851,AGT-118,322,85,Answered,5,Technical Support
CALL-2026040226,2026-04-06 05:30:00,CUST-2228,AGT-123,325,40,Answered,5,Account Management
CALL-2026040227,2026-04-06 06:15:00,CUST-8927,AGT-102,201,29,Answered,5,Account Management
CALL-2026040228,2026-04-06 06:30:00,CUST-2809,AGT-122,260,13,Answered,3,Account Management
CALL-2026040229,2026-04-06 06:30:00,CUST-7468,AGT-112,255,32,Answered,5,Account Management
CALL-2026040230,2026-04-06 06:45:00,CUST-5523,AGT-104,210,143,Answered,5,Network Outage
CALL-2026040231,2026-04-06 07:15:00,CUST-7091,AGT-119,60,79,Answered,5,Technical Support
CALL-2026040232,2026-04-06 08:15:00,CUST-7318,AGT-123,267,135,Answered,4,Technical Support
CALL-2026040233,2026-04-06 09:00:00,CUST-1522,AGT-117,263,182,Answered,4,Account Management
CALL-2026040234,2026-04-06 09:45:00,CUST-2124,AGT-122,123,51,Answered,4,General Inquiry
CALL-2026040235,2026-04-06 09:45:00,CUST-6777,AGT-114,254,10,Answered,4,Network Outage
CALL-2026040236,2026-04-06 10:00:00,CUST-5424,AGT-106,309,411,Answered,2,Billing & Payment
CALL-2026040237,2026-04-06 10:00:00,CUST-2772,AGT-102,313,510,Missed,1,Billing & Payment
CALL-2026040238,2026-04-06 11:00:00,CUST-1539,AGT-108,227,185,Answered,1,Billing & Payment
CALL-2026040239,2026-04-06 12:00:00,CUST-2548,AGT-117,346,160,Answered,4,Technical Support
CALL-2026040240,2026-04-06 12:45:00,CUST-2815,AGT-102,233,53,Answered,4,Technical Support
CALL-2026040241,2026-04-06 13:30:00,CUST-3158,AGT-106,278,192,Missed,1,Billing & Payment
CALL-2026040242,2026-04-06 13:30:00,CUST-4923,AGT-123,256,296,Dropped,3,Network Outage
CALL-2026040243,2026-04-06 13:30:00,CUST-4866,AGT-122,258,294,Answered,1,Technical Support
CALL-2026040244,2026-04-06 14:00:00,CUST-2524,AGT-101,297,75,Answered,5,Account Management
CALL-2026040245,2026-04-06 15:30:00,CUST-1719,AGT-111,312,57,Answered,5,Account Management
CALL-2026040246,2026-04-06 15:30:00,CUST-9835,AGT-108,349,25,Answered,4,Technical Support
CALL-2026040247,2026-04-06 16:00:00,CUST-2102,AGT-123,471,62,Answered,5,Account Management
CALL-2026040248,2026-04-06 16:15:00,CUST-1277,AGT-109,318,87,Answered,5,Technical Support
CALL-2026040249,2026-04-06 16:45:00,CUST-8468,AGT-119,163,109,Answered,4,Technical Support
CALL-2026040250,2026-04-06 17:00:00,CUST-2072,AGT-115,422,30,Answered,5,General Inquiry
CALL-2026040251,2026-04-06 17:15:00,CUST-5781,AGT-118,138,170,Answered,4,Account Management
CALL-2026040252,2026-04-06 18:00:00,CUST-2946,AGT-102,278,51,Answered,3,Technical Support
CALL-2026040253,2026-04-06 18:45:00,CUST-3645,AGT-118,486,21,Answered,4,Billing & Payment
CALL-2026040254,2026-04-06 19:00:00,CUST-1492,AGT-111,139,18,Missed,1,Account Management
CALL-2026040255,2026-04-06 19:15:00,CUST-5958,AGT-112,136,23,Answered,5,General Inquiry
CALL-2026040256,2026-04-06 19:15:00,CUST-1619,AGT-119,321,36,Answered,4,Account Management
CALL-2026040257,2026-04-06 20:45:00,CUST-3895,AGT-102,316,39,Answered,4,General Inquiry
CALL-2026040258,2026-04-06 22:00:00,CUST-8594,AGT-107,327,203,Answered,3,Network Outage
CALL-2026040259,2026-04-06 22:00:00,CUST-3468,AGT-110,403,38,Answered,5,Network Outage
CALL-2026040260,2026-04-06 22:15:00,CUST-5967,AGT-102,300,109,Answered,4,Billing & Payment
CALL-2026040261,2026-04-06 22:45:00,CUST-5444,AGT-103,594,10,Answered,5,Network Outage
CALL-2026040262,2026-04-06 23:00:00,CUST-3451,AGT-121,148,13,Answered,4,Technical Support
CALL-2026040263,2026-04-06 23:15:00,CUST-5369,AGT-113,404,59,Answered,4,Technical Support
CALL-2026040264,2026-04-07 00:30:00,CUST-4699,AGT-123,167,24,Answered,3,Billing & Payment
CALL-2026040265,2026-04-07 01:30:00,CUST-6520,AGT-122,289,29,Answered,5,Network Outage
CALL-2026040266,2026-04-07 03:30:00,CUST-7242,AGT-112,332,29,Answered,5,Network Outage
CALL-2026040267,2026-04-07 03:45:00,CUST-7297,AGT-108,152,96,Answered,4,Billing & Payment
CALL-2026040268,2026-04-07 04:30:00,CUST-1614,AGT-114,299,14,Answered,5,Technical Support
CALL-2026040269,2026-04-07 04:30:00,CUST-3468,AGT-101,236,109,Answered,5,Billing & Payment
CALL-2026040270,2026-04-07 04:45:00,CUST-4075,AGT-103,366,47,Answered,4,Billing & Payment
